x, a priori error bound, running error bound, forward error
    9.93210E-01,     3.37227E-27,     1.64208E-27,     7.42875E-28
    9.93220E-01,     3.36053E-27,     1.62521E-27,     3.26291E-28
    9.93230E-01,     3.34886E-27,     1.62958E-27,     7.94425E-28
    9.93240E-01,     3.33725E-27,     1.61175E-27,     3.87660E-28
    9.93250E-01,     3.32572E-27,     1.60751E-27,     1.32487E-28
    9.93260E-01,     3.31425E-27,     1.58345E-27,     3.19807E-28
    9.93270E-01,     3.30285E-27,     1.57218E-27,     6.57725E-28
    9.93280E-01,     3.29152E-27,     1.55185E-27,     1.56847E-28
    9.93290E-01,     3.28025E-27,     1.54206E-27,     2.80691E-28
    9.93300E-01,     3.26905E-27,     1.53617E-27,     5.52816E-28
    9.93310E-01,     3.25792E-27,     1.52998E-27,     2.08258E-28
    9.93320E-01,     3.24686E-27,     1.53816E-27,     3.43238E-28
    9.93330E-01,     3.23586E-27,     1.51519E-27,     6.64071E-28
    9.93340E-01,     3.22493E-27,     1.50893E-27,     1.09957E-28
    9.93350E-01,     3.21406E-27,     1.48989E-27,     7.74686E-29
    9.93360E-01,     3.20326E-27,     1.48483E-27,     3.92828E-28
    9.93370E-01,     3.19253E-27,     1.46017E-27,     3.40207E-28
    9.93380E-01,     3.18185E-27,     1.45931E-27,     4.74816E-28
    9.93390E-01,     3.17125E-27,     1.43306E-27,     7.49104E-28
    9.93400E-01,     3.16070E-27,     1.42224E-27,     2.05766E-29
    9.93410E-01,     3.15022E-27,     1.41300E-27,     6.94127E-28
    9.93420E-01,     3.13981E-27,     1.41024E-27,     3.90253E-28
    9.93430E-01,     3.12946E-27,     1.40984E-27,     6.71323E-29
    9.93440E-01,     3.11917E-27,     1.38426E-27,     4.26478E-28
    9.93450E-01,     3.10894E-27,     1.37367E-27,     7.36467E-28
    9.93460E-01,     3.09878E-27,     1.38044E-27,     5.45057E-28
    9.93470E-01,     3.08867E-27,     1.36039E-27,     2.62716E-28
    9.93480E-01,     3.07863E-27,     1.37058E-27,     8.14422E-31
    9.93490E-01,     3.06865E-27,     1.35754E-27,     2.54993E-28
    9.93500E-01,     3.05874E-27,     1.33997E-27,     4.05628E-28
    9.93510E-01,     3.04888E-27,     1.32270E-27,     1.07554E-29
    9.93520E-01,     3.03908E-27,     1.32565E-27,     5.12198E-28
    9.93530E-01,     3.02935E-27,     1.28435E-27,     6.80187E-28
    9.93540E-01,     3.01967E-27,     1.29171E-27,     7.04249E-28
    9.93550E-01,     3.01006E-27,     1.27762E-27,     4.46499E-28
    9.93560E-01,     3.00050E-27,     1.27439E-27,     5.04114E-28
    9.93570E-01,     2.99101E-27,     1.25932E-27,     3.54211E-28
    9.93580E-01,     2.98157E-27,     1.23637E-27,     2.29563E-28
    9.93590E-01,     2.97219E-27,     1.25836E-27,     3.88715E-28
    9.93600E-01,     2.96287E-27,     1.22533E-27,     7.85741E-28
    9.93610E-01,     2.95361E-27,     1.22746E-27,     1.22578E-29
    9.93620E-01,     2.94440E-27,     1.21101E-27,     2.90314E-29
    9.93630E-01,     2.93526E-27,     1.19841E-27,     4.36483E-28
    9.93640E-01,     2.92617E-27,     1.21926E-27,     2.29614E-28
    9.93650E-01,     2.91714E-27,     1.19242E-27,     4.63257E-28
    9.93660E-01,     2.90816E-27,     1.18143E-27,     4.66540E-28
    9.93670E-01,     2.89924E-27,     1.16679E-27,     4.46742E-28
    9.93680E-01,     2.89038E-27,     1.18021E-27,     3.52923E-28
    9.93690E-01,     2.88157E-27,     1.15230E-27,     8.01808E-28
    9.93700E-01,     2.87282E-27,     1.14162E-27,     7.59458E-28
    9.93710E-01,     2.86413E-27,     1.12539E-27,     7.54016E-28
    9.93720E-01,     2.85549E-27,     1.11646E-27,     7.98594E-28
    9.93730E-01,     2.84690E-27,     1.11063E-27,     2.49807E-28
    9.93740E-01,     2.83838E-27,     1.10307E-27,     4.12803E-28
    9.93750E-01,     2.82990E-27,     1.10762E-27,     1.86123E-29
    9.93760E-01,     2.82148E-27,     1.08040E-27,     6.67704E-28
    9.93770E-01,     2.81311E-27,     1.07928E-27,     6.48324E-28
    9.93780E-01,     2.80480E-27,     1.07528E-27,     3.43601E-28
    9.93790E-01,     2.79654E-27,     1.06514E-27,     3.76619E-28
    9.93800E-01,     2.78833E-27,     1.07321E-27,     7.34806E-31
    9.93810E-01,     2.78018E-27,     1.06213E-27,     3.79970E-28
    9.93820E-01,     2.77208E-27,     1.06071E-27,     4.12917E-28
    9.93830E-01,     2.76403E-27,     1.05093E-27,     1.67472E-28
    9.93840E-01,     2.75603E-27,     1.04487E-27,     7.19013E-28
